央视频道,#genre#
CCTV3,http://114.252.238.87:8000/udp/239.3.1.172:8001,1.02
CCTV3,http://221.222.162.206:8888/udp/239.3.1.172:8001,1.01
CCTV3,http://111.199.234.10:18888/udp/239.3.1.172:8001,0.97
CCTV3,http://114.254.85.102:8888/udp/239.3.1.172:8001,0.96
CCTV3,http://114.243.102.150:8888/udp/239.3.1.172:8001,0.95
CCTV3,http://123.113.249.203:8888/udp/239.3.1.172:8001,0.94
CCTV3,http://123.118.159.0:8686/udp/239.3.1.172:8001,0.94
CCTV3,http://111.196.12.108:7088/udp/239.3.1.172:8001,0.92
CCTV3,http://123.113.187.204:8000/udp/239.3.1.172:8001,0.92
CCTV3,http://111.196.129.152:20000/udp/239.3.1.172:8001,0.91
CCTV3,http://123.113.189.90:8001/udp/239.3.1.172:8001,0.9
CCTV3,http://114.244.237.230:7088/udp/239.3.1.172:8001,0.9
CCTV3,http://175.173.198.22:9010/udp/232.0.0.170:1234,0.86
CCTV3,http://221.221.162.225:8888/udp/239.3.1.172:8001,0.86
CCTV3,http://222.129.139.229:8888/udp/239.3.1.172:8001,0.86
CCTV3,http://114.252.235.176:8000/udp/239.3.1.172:8001,0.84
CCTV3,http://114.244.233.134:7088/udp/239.3.1.172:8001,0.8
CCTV3,http://175.173.198.22:9009/udp/232.0.0.170:1234,0.76
CCTV3,http://222.128.86.76:8133/udp/239.3.1.172:8001,0.76
CCTV3,http://114.254.93.146:2222/udp/239.3.1.172:8001,0.75
CCTV3,http://114.243.98.12:8888/udp/239.3.1.172:8001,0.7
CCTV3,http://123.113.237.160:8888/udp/239.3.1.172:8001,0.69
CCTV3,http://222.129.139.91:8888/udp/239.3.1.172:8001,0.65
CCTV3,http://114.243.102.173:8888/udp/239.3.1.172:8001,0.63
CCTV3,http://60.7.56.22:4000/udp/239.253.92.191:6057,0.62
CCTV3,http://114.254.91.251:2222/udp/239.3.1.172:8001,0.61
CCTV3,http://120.6.209.42:8866/udp/239.253.92.191:6057,0.57
CCTV3,http://221.221.167.14:8888/udp/239.3.1.172:8001,0.57
CCTV3,http://114.254.91.244:2222/udp/239.3.1.172:8001,0.56
CCTV3,http://60.7.56.33:4000/udp/239.253.92.191:6057,0.55
CCTV3,http://175.173.198.22:9001/udp/232.0.0.170:1234,0.55
CCTV3,http://114.254.87.41:2222/udp/239.3.1.172:8001,0.37
CCTV3,http://114.254.87.170:2222/udp/239.3.1.172:8001,0.35
CCTV3,http://114.254.82.176:2222/udp/239.3.1.172:8001,0.25
CCTV4,http://175.173.198.22:9020/udp/232.0.0.201:1234,1.35
CCTV4,http://60.2.190.206:4000/udp/239.253.92.251:6141,1.02
CCTV4,http://60.10.106.114:555/udp/239.253.92.251:6141,1.02
CCTV4,http://101.20.43.127:555/udp/239.253.92.251:6141,1.02
CCTV4,http://175.146.122.104:8888/udp/232.0.0.201:1234,1.02
CCTV4,http://111.196.135.75:8686/udp/239.3.1.105:8092,1.02
CCTV4,http://114.252.238.87:8000/udp/239.3.1.105:8092,1.02
CCTV4,http://221.222.162.206:8888/udp/239.3.1.105:8092,1.01
CCTV4,http://111.199.234.10:18888/udp/239.3.1.105:8092,0.97
